,Text
0,XLNet: General AutoregressPretraining for Language Understanding
1,With the capability of modeling bidtional contexts denoising autoencoding based pretraining lBERT achieves better performance than pretraining approaches based on autoregresslanguage modeling
2,However relying on corrupting the input with masks BERT neglects dependency between the masked positions and suffers from a pretrain-fune discrepancy
3,In light of these pros and cons we propose XLNet a general autoregresspretraining method that (1) enables learning bidtional contexts by maximizing the expected lihood over all permutations of the factorization order and (2) overcomes the limitations of BERT thanks to its autoregressformulation
4,Furthermore XLNet integrates s from Transformer-XL the state-of-the-art autoregressmodel into pretraining
5,"Empirically under comparable expert settings XLNet outperforms BERT on 20 tasks often by a large margin including question answering natural language inference sentt analysis and document ranking.Bert is a transformer which is costituted as a stack of LSTMs
"
6,RoBERTa: A Robustly Optim BERT Pretraining Approach
7,Language model pretraining has led to significant performancins but careful comparison between different approaches is challng
8,Training is computationally expensoften done on private datasets of different s and as we will show hyperparameter cho have significant impact on the final results
9,We present a replication study of BERT pretraining (Devlin  2019) that carefully measures the impact of many key hyperparameters and training data s We find that BERT was significantly undertra and can match or exceed the performance of every model published after it
10,Our best model achieves state-of-the-art results on GLUE RACE and SQuAD
11,These results highlight the importance of previously overlooked design cho and raquestions about the source of recently reported improvements
12,"We release our models and code.We find that BERT was significantly undertra and propose an improved recfor training BERT models which we call RoBERTa that can match or exceed the performance of all of the post-BERT methods.
"
13,Ordered Neurons: Integrating Tree Structures into Recurrent Neural Networks
14,Natural language is hierarchically structured: smaller units ( phrases) are nested within larger units ( clauses)
15,When a larger constituent ends all of the smaller constituents that are nested within it must also be closed
16,Whthe standard LSTM archture allows different neurons to track information at different tscales it does not have an explicit bias towards modeling a hierarchy of constituents
17,This paper proposes to add such an inductbias by ordering the neurons; a vector of master input and forget gates ensures that when a g neuron is updated all the neurons that follow it in the ordering are also updated
18,"Our novel recurrent archture ordered neurons LSTM (ON-LSTM) achieves good performance on four different tasks: language modeling unsuperv parsing targeted syntactaluation and logical inference.
"
19,BERT: Pre-training of Deep Bidtional Transformers for Language Understanding: We introduce a new language representation model called BERT which stands for Bidtional Encoder Representations from Transformers
20,Unlrecent language representation models BERT is designed to pre-train deep bidtional representations from unlabeled text by jointly conditioning on both left and right context in all layers
21,As a result the pre-tra BERT model can be ftuned with just one additional output layer to create state-of-the-art models for a wrange of tasks such as question answering and language inference without substantial task-specific archture modifications
22,BERT is conceptually simple and empirically powerful
23,"It obtains new state-of-the-art results on eleven natural language processing tasks.
"
24,RelationNet++: Bridging Visual Representations for Object Detection via Transformer Decoder
25,Existing object detection frameworks are usually built on a single format of object/part representation  anchor/proposal rectangle boxes in RetinaNet and Faster R-CNN center points in FCOS and RepPoints and corner points in CornerNet
26,Whthese different representations usually drthe frameworks to perform well in different aspects  better classification or f localization it is in general difficult to combthese representations in a single framework to makod use of each strh due to the heterogeneous or non-grid feature extraction by different representations
27,This paper presents an attention-based decoder module similar as that in Transformer~\cvaswani2017attention} to bridge other representations into a typical object detector built on a single representation format in an end-to-end fashion
28,The other representations act as a set of \emph{key} instances to strhen the main \emph{query} representation features in the vanilla detectors
